#### epoch 1 ##### 
             train loss: 0.009304, train accuracy: 78%
#### epoch 2 ##### 
             train loss: 0.006450, train accuracy: 85%
#### epoch 3 ##### 
             train loss: 0.005667, train accuracy: 87%
#### epoch 4 ##### 
             train loss: 0.005124, train accuracy: 88%
#### epoch 5 ##### 
             train loss: 0.004846, train accuracy: 89%
#### epoch 6 ##### 
             train loss: 0.004609, train accuracy: 89%
#### epoch 7 ##### 
             train loss: 0.004356, train accuracy: 90%
#### epoch 8 ##### 
             train loss: 0.004215, train accuracy: 90%
#### epoch 9 ##### 
             train loss: 0.004060, train accuracy: 90%
#### epoch 10 ##### 
             train loss: 0.003935, train accuracy: 91%
#### epoch 11 ##### 
             train loss: 0.003877, train accuracy: 91%
#### epoch 12 ##### 
             train loss: 0.003791, train accuracy: 91%
#### epoch 13 ##### 
             train loss: 0.003670, train accuracy: 91%
#### epoch 14 ##### 
             train loss: 0.003569, train accuracy: 91%
#### epoch 15 ##### 
             train loss: 0.003514, train accuracy: 92%
#### epoch 16 ##### 
             train loss: 0.003473, train accuracy: 92%
#### epoch 17 ##### 
             train loss: 0.003396, train accuracy: 92%
#### epoch 18 ##### 
             train loss: 0.003377, train accuracy: 92%
#### epoch 19 ##### 
             train loss: 0.003317, train accuracy: 92%
#### epoch 20 ##### 
             train loss: 0.003303, train accuracy: 92%
#### epoch 21 ##### 
             train loss: 0.003210, train accuracy: 92%
#### epoch 22 ##### 
             train loss: 0.003173, train accuracy: 92%
#### epoch 23 ##### 
             train loss: 0.003164, train accuracy: 92%
#### epoch 24 ##### 
             train loss: 0.003127, train accuracy: 92%
#### epoch 25 ##### 
             train loss: 0.003078, train accuracy: 93%
#### epoch 26 ##### 
             train loss: 0.002985, train accuracy: 93%
#### epoch 27 ##### 
             train loss: 0.003009, train accuracy: 93%
#### epoch 28 ##### 
             train loss: 0.002991, train accuracy: 93%
#### epoch 29 ##### 
             train loss: 0.002982, train accuracy: 93%
#### epoch 30 ##### 
             train loss: 0.002850, train accuracy: 93%
#### epoch 31 ##### 
             train loss: 0.002857, train accuracy: 93%
#### epoch 32 ##### 
             train loss: 0.002898, train accuracy: 93%
#### epoch 33 ##### 
             train loss: 0.002835, train accuracy: 93%
#### epoch 34 ##### 
             train loss: 0.002763, train accuracy: 93%
#### epoch 35 ##### 
             train loss: 0.002776, train accuracy: 93%
#### epoch 36 ##### 
             train loss: 0.002770, train accuracy: 93%
#### epoch 37 ##### 
